# source: refs/1311.4561.pdf page 10, frame (164.88, 95.67, 447.81, 305.99)
# axes: x [0.0, 0.918753], y [-0.0132213, 0.1800165]
# extracted by tools/digitize_figure.py; provenance in SOURCES.md
# curve b1: colour=(0.247, 0.24, 0.6) dash='[] 0' points=578 x=[0.0100, 0.9000]
# x,b1
0.328494,-0.00241255
0.331471,-0.00263544
0.334447,-0.00284674
0.337424,-0.00305386
0.340401,-0.00324769
0.343377,-0.00342981
0.346354,-0.00360684
0.349331,-0.00377053
0.352307,-0.0039222
0.355284,-0.00406858
0.358261,-0.00420141
0.361237,-0.00432559
0.364214,-0.00443902
0.367191,-0.00454153
0.370167,-0.00463562
0.373144,-0.00471899
0.376121,-0.00479346
0.379097,-0.00485798
0.382074,-0.00491277
0.385051,-0.0049595
0.388027,-0.00499693
0.391004,-0.00502556
0.393981,-0.00504573
0.396957,-0.00505778
0.399934,-0.00506174
0.402911,-0.00505826
0.405887,-0.00504745
0.408864,-0.00502887
0.41184,-0.00500386
0.414817,-0.00497226
0.417794,-0.00493387
0.42077,-0.00489018
0.423747,-0.00484029
0.426724,-0.00478351
0.4297,-0.00472432
0.432677,-0.00465871
0.435654,-0.00458772
0.43863,-0.00451221
0.441607,-0.00443147
0.444584,-0.00435073
0.44756,-0.00426702
0.450537,-0.00417776
0.453514,-0.00408468
0.45649,-0.00398856
0.459467,-0.00389012
0.462444,-0.00379168
0.46542,-0.00368797
0.468397,-0.00358152
0.471374,-0.00347507
0.47435,-0.00336862
0.477327,-0.00326217
0.480304,-0.00315572
0.48328,-0.00304785
0.486257,-0.00293728
0.489234,-0.00282672
0.49221,-0.00271615
0.495187,-0.00260559
0.498163,-0.00249502
0.50114,-0.00238559
0.504117,-0.00227749
0.507093,-0.0021694
0.51007,-0.00206131
0.513047,-0.00195321
0.516023,-0.00184512
0.519,-0.00173758
0.521977,-0.00163696
0.524953,-0.00153635
0.52793,-0.00143574
0.530907,-0.00133513
0.533883,-0.00123452
0.53686,-0.00113391
0.539837,-0.00104182
0.542813,-0.000951773
0.54579,-0.000861726
0.548767,-0.00077168
0.551743,-0.000681633
0.55472,-0.000591587
0.557697,-0.000508114
0.560673,-0.000427488
0.56365,-0.000348188
0.566627,-0.000273095
0.569603,-0.000199112
0.57258,-0.000125129
0.575557,-5.38936e-05
0.578533,1.38373e-05
0.58151,7.94173e-05
0.584487,0.000141686
0.587463,0.00020227
0.59044,0.000262854
0.593416,0.00032051
0.596393,0.000374705
0.59937,0.000427325
0.602346,0.000477728
0.605323,0.000525304
0.6083,0.000571524
0.611276,0.000615462
0.614253,0.000656645
0.61723,0.000696575
0.620206,0.0007343
0.623183,0.000769794
0.62616,0.00080329
0.629136,0.000835285
0.632113,0.000865044
0.63509,0.000892906
0.638066,0.000919454
0.641043,0.000943366
0.64402,0.000966052
0.646996,0.000987272
0.649973,0.00100653
0.65295,0.00102391
0.655926,0.00104012
0.658903,0.00105457
0.66188,0.00106759
0.664856,0.00107913
0.667833,0.00108944
0.67081,0.00109799
0.673786,0.00110549
0.676763,0.00111199
0.679739,0.00111704
0.682716,0.00112079
0.685693,0.00112338
0.688669,0.00112498
0.691646,0.00112556
0.694623,0.0011249
0.697599,0.00112355
0.700576,0.00112093
0.703553,0.00111748
0.706529,0.00111352
0.709506,0.00110847
0.712483,0.00110281
0.715459,0.00109602
0.718436,0.00108909
0.721413,0.00108122
0.724389,0.00107252
0.727366,0.00106356
0.730343,0.00105375
0.733319,0.00104345
0.736296,0.00103306
0.739273,0.00102177
0.742249,0.00101027
0.745226,0.000998478
0.748203,0.000985823
0.751179,0.000973168
0.754156,0.000960512
0.757133,0.000946631
0.760109,0.000932722
0.763086,0.000918814
0.766062,0.000904905
0.769039,0.000890997
0.772016,0.000877088
0.774992,0.000862628
0.777969,0.000847933
0.780946,0.000833238
0.783922,0.000818542
0.786899,0.000803847
0.789876,0.000789152
0.792852,0.000774303
0.795829,0.000759426
