# source: refs/nucl-th_0605061.pdf page 7, frame (82.43, 55.92, 296.11, 187.99)
# axes: x [0.0, 1.0], y [0.55, 1.2]
# extracted by tools/digitize_figure.py; provenance in SOURCES.md
# curve R_unpol: colour=(0.182, 0.19, 0.573) dash='[ 1.50769 ] 0' points=252 x=[0.0275, 0.8831]
# curve R_pol_eq26: colour=(0.93, 0.111, 0.141) dash='[] 0' points=251 x=[0.0275, 0.8710]
# curve R_pol_eq23: colour=(0.93, 0.111, 0.141) dash='[ 0 1.50769 ] 0' points=254 x=[0.0275, 0.9078]
# x,R_unpol,R_pol_eq26,R_pol_eq23
0.619914,0.916421,0.909679,0.907422
0.622735,0.916041,0.909897,0.907307
0.625556,0.915664,0.910121,0.907192
0.628377,0.915311,0.910375,0.907082
0.631198,0.914959,0.910628,0.906972
0.634019,0.914608,0.910884,0.906862
0.636839,0.914286,0.911174,0.906758
0.63966,0.913965,0.911463,0.906655
0.642481,0.913644,0.911753,0.906551
0.645302,0.913353,0.912081,0.906454
0.648123,0.913064,0.912411,0.906358
0.650944,0.912775,0.912742,0.906261
0.653765,0.912515,0.913106,0.906171
0.656586,0.912264,0.913482,0.906082
0.659407,0.912012,0.913857,0.905993
0.662228,0.911785,0.914258,0.905909
0.665049,0.911578,0.914681,0.905829
0.66787,0.911371,0.915104,0.905749
0.67069,0.911178,0.915543,0.905672
0.673511,0.91102,0.916025,0.905605
0.676332,0.910862,0.916506,0.905538
0.679153,0.910705,0.916987,0.905471
0.681974,0.910604,0.917531,0.905418
0.684795,0.910504,0.918076,0.905365
0.687616,0.910404,0.918621,0.905312
0.690437,0.910346,0.919212,0.905271
0.693258,0.910313,0.919831,0.905236
0.696079,0.910279,0.920449,0.905201
0.6989,0.910265,0.921089,0.905172
0.70172,0.910312,0.921797,0.905162
0.704541,0.910359,0.922505,0.905152
0.707362,0.910406,0.923212,0.905142
0.710183,0.910529,0.924001,0.905157
0.713004,0.910671,0.924812,0.905178
0.715825,0.910813,0.925622,0.905199
0.718646,0.91099,0.926469,0.905233
0.721467,0.911247,0.927403,0.905295
0.724288,0.911505,0.928338,0.905358
0.727109,0.911762,0.929272,0.90542
0.72993,0.912127,0.930321,0.905526
0.732751,0.912526,0.931405,0.905645
0.735571,0.912925,0.93249,0.905765
0.738392,0.913353,0.933605,0.905896
0.741213,0.913922,0.934865,0.906082
0.744034,0.914491,0.936125,0.906269
0.746855,0.915061,0.937386,0.906455
0.749676,0.915741,0.938764,0.906693
0.752497,0.91652,0.940247,0.906976
0.755318,0.917299,0.941731,0.907258
0.758139,0.918078,0.943214,0.907541
0.76096,0.919077,0.944925,0.907929
0.763781,0.920118,0.946678,0.908337
0.766602,0.921158,0.948432,0.908745
0.769422,0.922231,0.950219,0.909169
0.772243,0.923595,0.952311,0.90974
0.775064,0.924959,0.954403,0.910311
0.777885,0.926323,0.956495,0.910882
0.780706,0.927813,0.958717,0.911519
0.783527,0.929587,0.96123,0.912306
0.786348,0.93136,0.963744,0.913093
0.789169,0.933134,0.966258,0.913881
0.79199,0.935145,0.969016,0.9148
0.794811,0.937433,0.972061,0.915875
0.797632,0.93972,0.975106,0.916949
0.800452,0.942008,0.978151,0.918023
0.803273,0.944664,0.981576,0.919312
0.806094,0.947605,0.985296,0.920768
0.808915,0.950547,0.989015,0.922224
0.811736,0.953489,0.992734,0.92368
0.814557,0.956945,0.996984,0.925447
0.817378,0.960731,1.00158,0.927414
0.820199,0.964518,1.00617,0.929381
0.82302,0.968305,1.01076,0.931348
0.825841,0.972749,1.01603,0.933728
0.828662,0.977631,1.02175,0.936384
0.831483,0.982514,1.02748,0.939039
0.834303,0.987396,1.0332,0.941695
0.837124,0.993052,1.03973,0.944853
0.839945,0.999379,1.04696,0.948448
0.842766,1.00571,1.05418,0.952043
0.845587,1.01203,1.0614,0.955638
0.848408,1.01916,1.06946,0.95977
0.851229,1.02743,1.0787,0.964661
0.85405,1.03569,1.08794,0.969552
0.856871,1.04396,1.09718,0.974442
0.859692,1.05285,1.10707,0.979762
0.862513,1.06378,1.11908,0.986475
0.865334,1.07471,1.13109,0.993188
0.868154,1.08563,1.14311,0.999901
0.870975,1.09656,1.15512,1.00661
