# source: refs/2109.03591.pdf page 8, frame (117.25, 92.06, 287.23, 202.45)
# axes: x [0.0, 1.0], y [0.6, 1.2]
# extracted by tools/digitize_figure.py; provenance in SOURCES.md
# curve R_F2_nlo: colour=(1.0, 0.0, 0.0) dash='[] 0' points=63 x=[0.0467, 0.9114]
# curve R_gluon_nlo: colour=(1.0, 0.0, 0.0) dash='[ 2.8176797 1.218456 ] 0' points=52 x=[0.0467, 0.8179]
# curve R_F2_nnlo: colour=(0.0, 0.0, 1.0) dash='[] 0' points=58 x=[0.0467, 0.9114]
# curve R_gluon_nnlo: colour=(0.0, 0.0, 1.0) dash='[ 2.8176797 1.218456 ] 0' points=49 x=[0.0467, 0.8062]
# x,R_F2_nlo,R_gluon_nlo,R_F2_nnlo,R_gluon_nnlo
0.595413,0.841232,0.857753,0.849484,0.862766
0.597953,0.840156,0.858135,0.848725,0.863349
0.600493,0.839079,0.858541,0.847988,0.863959
0.603034,0.838041,0.858948,0.84725,0.86457
0.605574,0.837041,0.859354,0.846513,0.86518
0.608114,0.836041,0.859788,0.845775,0.86582
0.610654,0.835041,0.86033,0.845037,0.866582
0.613194,0.834041,0.860873,0.8443,0.867343
0.615734,0.833041,0.861415,0.843662,0.868104
0.618274,0.832042,0.861958,0.843034,0.868866
0.620814,0.831042,0.862592,0.842407,0.869732
0.623354,0.830042,0.863289,0.84178,0.870667
0.625895,0.829068,0.863985,0.841153,0.871603
0.628435,0.828155,0.864681,0.840526,0.872539
0.630975,0.827242,0.865377,0.839899,0.873475
0.633515,0.826328,0.866226,0.839382,0.874591
0.636055,0.825415,0.867074,0.838866,0.875707
0.638595,0.824502,0.867923,0.838349,0.876823
0.641135,0.823589,0.868771,0.837833,0.87794
0.643675,0.822676,0.869693,0.837316,0.879141
0.646215,0.821762,0.870726,0.8368,0.880469
0.648756,0.820858,0.871758,0.836294,0.881797
0.651296,0.82003,0.872791,0.835884,0.883125
0.653836,0.819203,0.873823,0.835475,0.884453
0.656376,0.818375,0.875028,0.835065,0.885986
0.658916,0.817547,0.876277,0.834656,0.887569
0.661456,0.816777,0.877525,0.834247,0.889152
0.663996,0.816064,0.878773,0.833837,0.890736
0.666536,0.815351,0.880072,0.833448,0.892379
0.669076,0.814638,0.881573,0.83314,0.894262
0.671617,0.813925,0.883074,0.832832,0.896144
0.674157,0.813212,0.884575,0.832524,0.898027
0.676697,0.812499,0.886076,0.832216,0.89991
0.679237,0.811851,0.887741,0.831909,0.90199
0.681777,0.811247,0.889516,0.831601,0.904202
