# source: refs/1702.05337.pdf page 9, frame (371.31, 568.87, 526.9, 668.51)
# axes: x [0.0, 1.6], y [-0.001, 0.0015]
# extracted by tools/digitize_figure.py; provenance in SOURCES.md
# curve xb1_theory1_sum: colour=(0.0, 0.0, 1.0) dash='[] 0' points=319 x=[0.0050, 1.5950]
# curve xb1_theory1_SD: colour=(0.0, 0.0, 1.0) dash='[ 2.84259 2.84259 ] 0' points=319 x=[0.0050, 1.5950]
# curve xb1_theory1_DD: colour=(0.0, 0.0, 1.0) dash='[ 1.13704 2.27407 ] 0' points=319 x=[0.0050, 1.5950]
# curve xb1_theory2_sum: colour=(0.037, 0.833, 0.0) dash='[] 0' points=159 x=[0.0100, 1.5900]
# curve xb1_theory2_SD: colour=(0.037, 0.833, 0.0) dash='[ 2.84259 2.84259 ] 0' points=159 x=[0.0100, 1.5900]
# curve xb1_theory2_DD: colour=(0.037, 0.833, 0.0) dash='[ 1.13704 2.27407 ] 0' points=159 x=[0.0100, 1.5900]
# x,xb1_theory1_sum,xb1_theory1_SD,xb1_theory1_DD,xb1_theory2_sum,xb1_theory2_SD,xb1_theory2_DD
0.707536,0.0010153,0.000675246,0.000340043,0.000307291,0.000219975,8.72905e-05
0.71282,0.00102705,0.000685723,0.000341322,0.000319179,0.000229309,8.9851e-05
0.718105,0.00103774,0.00069533,0.000342364,0.000330508,0.000238239,9.22628e-05
0.723389,0.00104736,0.000704144,0.000343166,0.000341065,0.000246566,9.44982e-05
0.728673,0.00105592,0.000712116,0.000343736,0.000351186,0.000254552,9.66338e-05
0.733957,0.00106337,0.000719251,0.0003441,0.000360375,0.000261824,9.85416e-05
0.739242,0.00106976,0.000725509,0.000344229,0.00036925,0.000268854,0.000100372
0.744526,0.00107503,0.000730814,0.000344127,0.000377017,0.000275017,0.000101974
0.74981,0.0010792,0.000735352,0.000343825,0.000384597,0.000281033,0.000103538
0.755094,0.00108228,0.000739004,0.000343299,0.000390958,0.000286123,0.000104822
0.760379,0.00108425,0.000741707,0.000342545,0.000397184,0.000291107,0.000106077
0.765663,0.00108521,0.000743573,0.00034162,0.000402259,0.000295162,0.000107084
0.770947,0.00108509,0.000744621,0.000340467,0.000407119,0.000299051,0.000108046
0.776231,0.00108394,0.000744822,0.000339104,0.00041098,0.000302168,0.000108803
0.781515,0.00108178,0.000744215,0.000337565,0.0004145,0.000305013,0.000109487
0.7868,0.00107862,0.000742778,0.00033584,0.000417165,0.000307174,0.000109991
0.792084,0.00107452,0.000740567,0.000333939,0.000419382,0.000308981,0.000110402
0.797368,0.00106945,0.000737572,0.000331854,0.000420906,0.00031024,0.000110667
0.802652,0.00106344,0.000733818,0.000329599,0.000421886,0.000311062,0.000110819
0.807937,0.00105655,0.00072933,0.000327194,0.000422324,0.000311446,0.000110859
0.813221,0.00104874,0.000724097,0.000324664,0.000422118,0.000311324,0.000110786
0.818505,0.00104004,0.000718123,0.00032195,0.000421494,0.000310873,0.00011064
0.823789,0.00103054,0.000711423,0.000319108,0.00042017,0.000309843,0.000110342
0.829074,0.00102018,0.000704056,0.0003161,0.000418565,0.000308582,0.000109984
0.834358,0.00100903,0.000696003,0.000312983,0.000416175,0.00030668,0.000109484
0.839642,0.000997128,0.000687359,0.000309743,0.000413617,0.000304639,0.000108955
0.844926,0.000984421,0.000678016,0.000306381,0.000410232,0.000301919,0.000108288
0.850211,0.000970985,0.00066803,0.00030293,0.000406752,0.000299121,0.000107605
0.855495,0.000956866,0.000657491,0.000299375,0.000402485,0.00029569,0.000106771
0.860779,0.000942055,0.00064633,0.000295724,0.000398106,0.000292165,0.000105918
0.866063,0.000926606,0.000634638,0.000291958,0.000393066,0.000288093,0.000104963
0.871348,0.000910579,0.000622419,0.000288118,0.000387857,0.000283876,0.000103978
0.876632,0.000893977,0.000609723,0.000284238,0.000382154,0.000279233,0.000102903
0.881916,0.000876846,0.000596597,0.000280259,0.000376232,0.000274415,0.000101796
0.8872,0.000859242,0.000583014,0.00027621,0.000369924,0.000269287,0.000100631
0.892485,0.000841221,0.000569055,0.000272128,0.000363382,0.000263954,9.94278e-05
0.897769,0.000822769,0.000554763,0.00026802,0.000356571,0.000258389,9.81824e-05
0.903053,0.000803913,0.000540108,0.00026383,0.000349501,0.000252619,9.68893e-05
0.908337,0.000784796,0.000525196,0.000259609,0.000342237,0.000246697,9.5561e-05
0.913621,0.00076548,0.000510084,0.000255361,0.000334766,0.000240584,9.41897e-05
0.918906,0.000745876,0.000494773,0.000251091,0.0003272,0.000234382,9.27986e-05
0.92419,0.000726149,0.000479287,0.000246799,0.000319424,0.000228024,9.13756e-05
0.929474,0.000706268,0.000463728,0.000242532,0.000311594,0.000221624,8.99441e-05
0.934758,0.000686297,0.000448108,0.000238214,0.000303637,0.000215135,8.85004e-05
0.940043,0.000666324,0.000432458,0.000233866,0.000295664,0.000208635,8.7055e-05
0.945327,0.000646364,0.000416781,0.000229559,0.000287626,0.000202069,8.55686e-05
0.950611,0.000626523,0.000401251,0.00022527,0.000279591,0.00019551,8.40809e-05
0.955895,0.000606821,0.000385816,0.000220985,0.000271588,0.000189004,8.25839e-05
0.96118,0.000587257,0.000370532,0.000216713,0.000263605,0.000182512,8.10869e-05
0.966464,0.0005679,0.000355405,0.000212452,0.000255694,0.000176073,7.95899e-05
0.971748,0.000548781,0.000340534,0.000208222,0.000247829,0.000169688,7.80966e-05
0.977032,0.000529915,0.000325886,0.000204025,0.000240056,0.000163414,7.66111e-05
0.982317,0.000511347,0.000311493,0.000199856,0.000232382,0.000157238,7.51311e-05
0.987601,0.000493131,0.000297402,0.000195717,0.000224834,0.000151189,7.36585e-05
0.992885,0.000475298,0.000283662,0.000191624,0.00021743,0.000145256,7.21858e-05
0.998169,0.000457837,0.000270243,0.000187554,0.000210148,0.00013942,7.07132e-05
1.00345,0.000440796,0.000257211,0.000183552,0.00020307,0.000133787,6.9268e-05
1.00874,0.000424162,0.000244562,0.000179594,0.0001961,0.000128261,6.78373e-05
1.01402,0.000407936,0.000232276,0.000175661,0.000189362,0.000122937,6.64262e-05
1.01931,0.000392222,0.000220395,0.000171784,0.000182698,0.000117676,6.50214e-05
1.02459,0.000376895,0.00020891,0.000167981,0.000176309,0.000112682,6.3626e-05
1.02987,0.000362027,0.000197821,0.000164205,0.000169961,0.000107729,6.22321e-05
1.03516,0.000347678,0.000187131,0.000160498,0.000163989,0.000103085,6.08923e-05
1.04044,0.000333759,0.000176895,0.000156842,0.000158054,9.84734e-05,5.9556e-05
1.04573,0.000320294,0.00016705,0.000153242,0.000152422,9.4153e-05,5.82442e-05
1.05101,0.000307323,0.00015759,0.000149703,0.000146853,8.98873e-05,5.69422e-05
