# source: refs/1702.05337.pdf page 10, frame (106.07, 82.89, 263.6, 183.77)
# axes: x [0.0, 1.6], y [-0.002, 0.004]
# extracted by tools/digitize_figure.py; provenance in SOURCES.md
# curve xb1_theory1_q2_1p0: colour=(0.0, 0.0, 1.0) dash='[ 2.8781203 2.8781203 ] 0' points=319 x=[0.0050, 1.5950]
# curve xb1_theory1_q2_2p5: colour=(0.0, 0.0, 1.0) dash='[] 0' points=319 x=[0.0050, 1.5950]
# curve xb1_theory1_q2_5p0: colour=(0.0, 0.0, 1.0) dash='[ 1.15125 2.3025 ] 0' points=317 x=[0.0050, 1.5850]
# curve xb1_theory2_q2_1p0: colour=(0.037, 0.833, 0.0) dash='[ 2.8781203 2.8781203 ] 0' points=159 x=[0.0100, 1.5900]
# curve xb1_theory2_q2_2p5: colour=(0.037, 0.833, 0.0) dash='[] 0' points=159 x=[0.0100, 1.5900]
# curve xb1_theory2_q2_5p0: colour=(0.037, 0.833, 0.0) dash='[ 1.15125 2.3025 ] 0' points=159 x=[0.0100, 1.5900]
# x,xb1_theory1_q2_1p0,xb1_theory1_q2_2p5,xb1_theory1_q2_5p0,xb1_theory2_q2_1p0,xb1_theory2_q2_2p5,xb1_theory2_q2_5p0
0.331325,-0.000465471,-0.000176907,-6.81248e-05,-0.000362196,-0.00034046,-0.000322531
0.336592,-0.000483571,-0.000176638,-6.34041e-05,-0.000382614,-0.000348194,-0.000325411
0.34186,-0.000501412,-0.000175841,-5.81715e-05,-0.000403083,-0.000355722,-0.000328007
0.347128,-0.000518838,-0.000174636,-5.2527e-05,-0.000423645,-0.00036287,-0.000330075
0.352395,-0.000535866,-0.000172775,-4.65027e-05,-0.000444162,-0.000369656,-0.000331744
0.357663,-0.00055232,-0.000170426,-4.00261e-05,-0.000464622,-0.000376007,-0.000332934
0.362931,-0.000568168,-0.000167448,-3.30107e-05,-0.000484892,-0.000381918,-0.000333621
0.368199,-0.000583381,-0.000163841,-2.55766e-05,-0.000505008,-0.000387472,-0.000333903
0.373466,-0.000597676,-0.000159688,-1.7812e-05,-0.000524767,-0.00039236,-0.000333547
0.378734,-0.000611161,-0.000154878,-9.56369e-06,-0.000544341,-0.000396902,-0.000332858
0.384002,-0.000623628,-0.000149253,-9.36671e-07,-0.000563177,-0.000400682,-0.000331505
0.389269,-0.000635038,-0.000143222,8.02773e-06,-0.000581779,-0.00040422,-0.000329939
